index,build,test_index,SIZE,NTHREADS,y_RX-RATE-PPS,y_RX-RATE-MBPS,y_LOSE-RATE,y_AVG-LAT,y_RX-GOODPUT-GBPS-PKTGEN,y_GOODRATEPC,run_index
109,DPA IPLOOKUP 1K,6,128,32,141313.0,167.3153992,0.99828653252998,0.0,,0.17134674700199914,1
110,DPA IPLOOKUP 1K,6,128,32,141336.0,167.3419624,0.99828658541536,0.0,,0.17134145846400273,2
111,DPA IPLOOKUP 1K,7,256,32,141325.0,312.0457288,0.99684334681122,0.0,,0.3156653188780001,0
112,DPA IPLOOKUP 1K,7,256,32,141320.0,312.0351304,0.99684334244652,0.0,,0.3156657553480047,1
113,DPA IPLOOKUP 1K,7,256,32,141323.0,312.042196,0.9968433749906,0.0,,0.31566250093999493,2
114,DPA IPLOOKUP 1K,8,512,32,141322.0,601.4655784,0.99387417114483,0.0,,0.612582885516999,0
115,DPA IPLOOKUP 1K,8,512,32,141319.0,601.4516808,0.99387447270369,0.0,,0.6125527296309996,1
116,DPA IPLOOKUP 1K,8,512,32,141335.0,601.5215112,0.99387416866637,0.0,,0.6125831333629983,2
117,DPA IPLOOKUP 1K,9,1024,32,141293.0,1180.078036,0.98804451793423,0.0,1.0,1.1955482065770018,0
118,DPA IPLOOKUP 1K,9,1024,32,141295.0,1180.0913992,0.98804459913466,0.0,1.0,1.1955400865339971,1
119,DPA IPLOOKUP 1K,9,1024,32,141290.0,1180.0513096,0.98804493568212,0.0,1.0,1.195506431787996,2
120,DPA IPLOOKUP 1K,10,64,64,282585.0,189.8977576,0.99737036150883,0.0,,0.2629638491170039,0
121,DPA IPLOOKUP 1K,10,64,64,282612.0,189.9159016,0.99736799314909,0.0,,0.2632006850910029,1
122,DPA IPLOOKUP 1K,10,64,64,282638.0,189.933172,0.99737088720775,0.0,,0.2629112792249977,2
123,DPA IPLOOKUP 1K,11,128,64,282630.0,334.6336616,0.99657343907268,0.0,,0.3426560927319966,0
124,DPA IPLOOKUP 1K,11,128,64,282627.0,334.6304648,0.99657245370483,0.0,,0.34275462951699476,1
125,DPA IPLOOKUP 1K,11,128,64,282621.0,334.6233,0.99657404523375,0.0,,0.3425954766249961,2
126,DPA IPLOOKUP 1K,12,256,64,282609.0,624.0008008,0.99368741568399,0.0,,0.6312584316010006,0
127,DPA IPLOOKUP 1K,12,256,64,282611.0,624.0058792,0.99368744449731,0.0,,0.6312555502690054,1
128,DPA IPLOOKUP 1K,12,256,64,282624.0,624.0337,0.99368745303843,0.0,,0.631254696157002,2
129,DPA IPLOOKUP 1K,13,512,64,282592.0,1202.7124008,0.98775066193408,0.0,1.0,1.224933806591999,0
130,DPA IPLOOKUP 1K,13,512,64,282621.0,1202.8346952,0.98775124071229,0.0,1.0,1.2248759287709965,1
131,DPA IPLOOKUP 1K,13,512,64,282624.0,1202.8478888,0.98775180806863,0.0,1.0,1.2248191931369945,2
132,DPA IPLOOKUP 1K,14,1024,64,282552.0,2359.8748744,0.97609192863862,0.0,2.0,2.3908071361379957,0
133,DPA IPLOOKUP 1K,14,1024,64,282548.0,2359.8392392,0.97609120412519,0.0,2.0,2.3908795874809985,1
134,DPA IPLOOKUP 1K,14,1024,64,282575.0,2360.0661672,0.97609195371957,0.0,2.0,2.3908046280429973,2
135,DPA IPLOOKUP 1K,15,64,128,564697.0,379.4763464,0.99462749910543,0.0,,0.5372500894569976,0
136,DPA IPLOOKUP 1K,15,64,128,564951.0,379.647988,0.99470015978803,0.0,,0.5299840211970053,1
137,DPA IPLOOKUP 1K,15,64,128,564880.0,379.5998632,0.994725272091,0.0,,0.5274727908999965,2
138,DPA IPLOOKUP 1K,16,128,128,564707.0,668.6128456,0.99313271004508,0.0,,0.6867289954920031,0
139,DPA IPLOOKUP 1K,16,128,128,564733.0,668.6435112,0.99312944940928,0.0,,0.6870550590719948,1
140,DPA IPLOOKUP 1K,16,128,128,564763.0,668.6794888,0.99313197145941,0.0,,0.6868028540589988,2
141,DPA IPLOOKUP 1K,17,256,128,564866.0,1247.2238472,0.98738156937391,0.0,1.0,1.2618430626090027,0
142,DPA IPLOOKUP 1K,17,256,128,564546.0,1246.5168136,0.98737943848967,0.0,1.0,1.2620561510329975,1
143,DPA IPLOOKUP 1K,17,256,128,564999.0,1247.5170952,0.98738150767367,0.0,1.0,1.2618492326330055,2
144,DPA IPLOOKUP 1K,18,512,128,564887.0,2404.1570888,0.9755163449445,0.0,2.0,2.4483655055499987,0
145,DPA IPLOOKUP 1K,18,512,128,564931.0,2404.347332,0.97551908301181,0.0,2.0,2.4480916988189994,1
146,DPA IPLOOKUP 1K,18,512,128,564704.0,2403.379092,0.97551073242761,0.0,2.0,2.4489267572390006,2
147,DPA IPLOOKUP 1K,19,1024,128,564678.0,4716.1912264,0.95219405883924,0.0,4.0,4.7805941160759975,0
148,DPA IPLOOKUP 1K,19,1024,128,564999.0,4718.866372,0.9521941619695,0.0,4.0,4.780583803049998,1
149,DPA IPLOOKUP 1K,19,1024,128,565000.0,4718.8797352,0.95219345988272,0.0,4.0,4.780654011728003,2
150,DPA IPLOOKUP 1K,20,64,190,846494.0,568.8448168,0.9917209499148,0.0,,0.8279050085200024,0
