feature_name,feature_value,feature_value_all,feature_value_name,norm_score,score,type,vis
median,"(-inf, 0.110301)","[0.11030144243110573, 5.251452979118592, 30.791238223660386, 273.1241935483871, 10816.114516129033]",median_0,0.531001,11.577881,continuous,histogram
median,"(-inf, 0.110301)","[0.11030144243110573, 5.251452979118592, 30.791238223660386, 273.1241935483871, 10816.114516129033]",median_0,0.259011,11.555952,continuous,heatmap
normalized_median,"(-inf, 0.000644)","[0.0006439799570568626, 0.34516593635082243, 0.5100700477919271, 0.6504355974735753, 0.8352578886189768, 0.9933362595496638]",normalized_median_0,0.862579,11.599447,continuous,line
normalized_median,"(-inf, 0.000644)","[0.0006439799570568626, 0.34516593635082243, 0.5100700477919271, 0.6504355974735753, 0.8352578886189768, 0.9933362595496638]",normalized_median_0,0.839186,11.597904,continuous,scatter
normalized_median,"(-inf, 0.000644)","[0.0006439799570568626, 0.34516593635082243, 0.5100700477919271, 0.6504355974735753, 0.8352578886189768, 0.9933362595496638]",normalized_median_0,0.0,11.542554,continuous,bar
normalized_median,"(-inf, 0.000644)","[0.0006439799570568626, 0.34516593635082243, 0.5100700477919271, 0.6504355974735753, 0.8352578886189768, 0.9933362595496638]",normalized_median_0,0.700052,11.588727,continuous,box
normalized_median,"(-inf, 0.000644)","[0.0006439799570568626, 0.34516593635082243, 0.5100700477919271, 0.6504355974735753, 0.8352578886189768, 0.9933362595496638]",normalized_median_0,1.0,11.608511,continuous,histogram
normalized_median,"(-inf, 0.000644)","[0.0006439799570568626, 0.34516593635082243, 0.5100700477919271, 0.6504355974735753, 0.8352578886189768, 0.9933362595496638]",normalized_median_0,0.556197,11.579239,continuous,heatmap
var,"(2.5e-05, 1.605201)","[2.5077526515815407e-05, 1.6052005600929224, 32.22537642817343, 802.6463076486889, 8941665.196451588]",var_1,0.837122,11.574055,continuous,line
var,"(2.5e-05, 1.605201)","[2.5077526515815407e-05, 1.6052005600929224, 32.22537642817343, 802.6463076486889, 8941665.196451588]",var_1,1.0,11.585192,continuous,scatter
var,"(2.5e-05, 1.605201)","[2.5077526515815407e-05, 1.6052005600929224, 32.22537642817343, 802.6463076486889, 8941665.196451588]",var_1,0.0,11.516815,continuous,bar
var,"(2.5e-05, 1.605201)","[2.5077526515815407e-05, 1.6052005600929224, 32.22537642817343, 802.6463076486889, 8941665.196451588]",var_1,0.97001,11.583141,continuous,box
var,"(2.5e-05, 1.605201)","[2.5077526515815407e-05, 1.6052005600929224, 32.22537642817343, 802.6463076486889, 8941665.196451588]",var_1,0.559143,11.555048,continuous,histogram
var,"(2.5e-05, 1.605201)","[2.5077526515815407e-05, 1.6052005600929224, 32.22537642817343, 802.6463076486889, 8941665.196451588]",var_1,0.087158,11.522775,continuous,heatmap
std,"(0.005013, 1.265435)","[0.00501265075057745, 1.265435202025598, 5.671287387417207, 28.329489892528905, 3000.464824061234]",std_1,0.844719,11.573231,continuous,line
